research_id,index_ai_intro_date,index_ai_intro_month,membership_tenure_days_at_index,ai_intro_count_total,ai_intro_count_first_30d,ai_intro_count_first_60d,ai_intro_count_first_90d,unique_members_introduced_count,matching_cycles_participated,first_vs_recurring_intro,average_group_size,repeat_match_count,repeat_match_rate,average_pair_score,median_pair_score,minimum_pair_score,maximum_pair_score,average_ai_correlation_score,matching_source_category,matching_algorithm_version,matching_pool_size,network_density_category,intro_delivered_count,successful_delivery_rate,retained_30d,retained_60d,retained_90d,retained_120d,retained_180d,days_from_index_to_service_end,valid_access_at_analysis_date,number_of_previous_introductions
R000044,2026-09-01,2026-09,258,1,1,1,1,2,1,1,3,0,0,0.74933,0.74933,0.672353,0.826306,0.606789,ai_unified_email_engine,14,24,medium_density,1,1,,,,,,,1,4
R000045,2026-09-01,2026-09,271,1,1,1,1,2,1,1,3,0,0,0.681548,0.681548,0.671406,0.691691,0.576506,ai_unified_email_engine,14,33,medium_density,1,1,,,,,,,1,5
R000046,2026-09-01,2026-09,117,1,1,1,1,2,1,0,3,0,0,0.618019,0.618019,0.614878,0.621159,0.584745,ai_unified_email_engine,14,48,high_density,1,1,,,,,,,1,0
R000047,2026-09-01,2026-09,112,1,1,1,1,2,1,0,3,0,0,0.610367,0.610367,0.593723,0.62701,0.626781,ai_unified_email_engine,14,98,high_density,1,1,,,,,,0,0,0
R000048,2026-09-01,2026-09,241,1,1,1,1,2,1,1,3,1,0.1429,0.585556,0.585556,0.565086,0.606026,0.566822,ai_unified_email_engine,14,3,very_low_density,1,1,,,,,,,1,3
R000049,2026-09-01,2026-09,211,1,1,1,1,2,1,1,3,0,0,0.637631,0.637631,0.543939,0.731323,0.574315,ai_unified_email_engine,14,10,low_density,1,1,,,,,,,1,3
R000050,2026-09-01,2026-09,326,1,1,1,1,2,1,1,3,1,0.0769,0.766827,0.766827,0.761075,0.772579,0.631904,ai_unified_email_engine,14,90,high_density,1,1,,,,,,,1,6
R000051,2026-09-01,2026-09,318,1,1,1,1,2,1,1,3,0,0,0.672865,0.672865,0.568031,0.7777,0.559375,ai_unified_email_engine,14,38,high_density,1,1,,,,,,,1,6
R000052,2026-09-01,2026-09,33,1,1,1,1,2,1,0,3,0,0,0.667549,0.667549,0.566971,0.768126,0.551017,ai_unified_email_engine,14,69,high_density,1,1,,,,,,,1,0
R000053,2026-09-01,2026-09,65,1,1,1,1,2,1,0,3,0,0,0.686577,0.686577,0.647516,0.725638,0.539837,ai_unified_email_engine,14,53,high_density,1,1,,,,,,,1,0
R000054,2026-09-01,2026-09,246,1,1,1,1,2,1,1,3,0,0,0.677458,0.677458,0.603374,0.751542,0.575384,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,4
R000055,2026-09-01,2026-09,69,1,1,1,1,2,1,0,3,0,0,0.669279,0.669279,0.644928,0.693629,0.44329,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,0
R000056,2026-09-01,2026-09,215,1,1,1,1,2,1,1,3,0,0,0.722295,0.722295,0.712173,0.732416,0.573163,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,,1,3
R000057,2026-09-01,2026-09,340,1,1,1,1,2,1,1,3,0,0,0.818344,0.818344,0.814936,0.821752,0.566236,ai_unified_email_engine,14,69,high_density,1,1,,,,,,,1,7
R000058,2026-09-01,2026-09,340,1,1,1,1,2,1,1,3,1,0.0667,0.820857,0.820857,0.780766,0.860948,0.38605,ai_unified_email_engine,14,69,high_density,1,1,,,,,,,1,7
R000059,2026-09-01,2026-09,240,1,1,1,1,2,1,1,3,1,0.1111,0.672356,0.672356,0.565416,0.779296,0.615504,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,4
R000060,2026-09-01,2026-09,253,1,1,1,1,2,1,1,3,1,0.1111,0.61287,0.61287,0.611684,0.614055,0.524335,ai_unified_email_engine,14,5,very_low_density,1,1,,,,,,14,0,4
R000061,2026-09-01,2026-09,274,1,1,1,1,2,1,1,3,1,0.1,0.818583,0.818583,0.817424,0.819741,0.612157,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,1,0,5
R000062,2026-09-01,2026-09,24,1,1,1,1,2,1,0,3,0,0,0.822965,0.822965,0.81181,0.83412,0.567483,ai_unified_email_engine,14,38,high_density,1,1,,,,,,,1,0
R000063,2026-09-01,2026-09,60,1,1,1,1,2,1,0,3,0,0,0.79311,0.79311,0.746024,0.840195,0.565805,ai_unified_email_engine,14,56,high_density,1,1,,,,,,,1,0
R000064,2026-09-01,2026-09,104,1,1,1,1,2,1,0,3,0,0,0.7616,0.7616,0.715267,0.807932,0.532341,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,0
R000065,2026-09-01,2026-09,367,1,1,1,1,2,1,1,3,0,0,0.740509,0.740509,0.712394,0.768623,0.568904,ai_unified_email_engine,14,90,high_density,1,1,,,,,,,1,8
R000066,2026-09-01,2026-09,236,1,1,1,1,2,1,1,3,0,0,0.451414,0.451414,0.396708,0.50612,0,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,3
R000067,2026-09-01,2026-09,86,1,1,1,1,2,1,0,3,0,0,0.567502,0.567502,0.553688,0.581315,0.378219,ai_unified_email_engine,14,27,medium_density,1,1,,,,,,,1,0
R000068,2026-09-01,2026-09,335,1,1,1,1,2,1,1,3,0,0,0.736806,0.736806,0.662052,0.811559,0.594674,ai_unified_email_engine,14,54,high_density,1,1,,,,,,,1,7
R000069,2026-09-01,2026-09,8,1,1,1,1,2,1,0,3,0,0,0.660726,0.660726,0.6592,0.662251,0.289135,ai_unified_email_engine,14,90,high_density,1,1,,,,,,,1,0
R000070,2026-09-01,2026-09,178,1,1,1,1,2,1,1,3,0,0,0.676088,0.676088,0.671163,0.681012,0.566305,ai_unified_email_engine,14,39,high_density,1,1,,,,,,2,0,1
R000071,2026-09-01,2026-09,297,1,1,1,1,2,1,1,3,0,0,0.559904,0.559904,0.511307,0.6085,0.570775,ai_unified_email_engine,14,17,low_density,1,1,,,,,,0,0,5
R000072,2026-09-01,2026-09,380,1,1,1,1,2,1,1,3,0,0,0.498856,0.498856,0.457352,0.540359,0.128034,ai_unified_email_engine,14,12,low_density,1,1,,,,,,,1,8
R000073,2026-09-01,2026-09,203,1,1,1,1,2,1,1,3,0,0,0.582404,0.582404,0.575411,0.589397,0.523154,ai_unified_email_engine,14,33,medium_density,1,1,,,,,,,1,1
R000074,2026-09-01,2026-09,235,1,1,1,1,2,1,1,3,0,0,0.656957,0.656957,0.50158,0.812333,0.473042,ai_unified_email_engine,14,98,high_density,1,1,,,,,,,1,3
R000075,2026-09-01,2026-09,489,1,1,1,1,2,1,1,3,0,0,0.487493,0.487493,0.457468,0.517518,0.579477,ai_unified_email_engine,14,25,medium_density,1,1,,,,,,,1,10
R000076,2026-09-01,2026-09,250,1,1,1,1,2,1,1,3,0,0,0.55481,0.55481,0.516736,0.592884,0.322427,ai_unified_email_engine,14,6,very_low_density,1,1,,,,,,,1,4
R000077,2026-09-01,2026-09,265,1,1,1,1,2,1,1,3,0,0,0.828769,0.828769,0.827086,0.830452,0.534281,ai_unified_email_engine,14,98,high_density,1,1,,,,,,9,0,4
R000078,2026-09-01,2026-09,292,1,1,1,1,2,1,1,3,1,0.1,0.681947,0.681947,0.519433,0.84446,0.582175,ai_unified_email_engine,14,14,low_density,1,1,,,,,,,1,5
R000079,2026-09-01,2026-09,205,1,1,1,1,2,1,1,3,0,0,0.685351,0.685351,0.535627,0.835074,0.498508,ai_unified_email_engine,14,9,very_low_density,1,1,,,,,,,1,2
R000080,2026-09-01,2026-09,103,1,1,1,1,2,1,0,3,0,0,0.437612,0.437612,0.437583,0.437642,0.203079,ai_unified_email_engine,14,49,high_density,1,1,,,,,,,1,0
R000081,2026-09-01,2026-09,341,1,1,1,1,2,1,1,3,0,0,0.822748,0.822748,0.801594,0.843902,0.579491,ai_unified_email_engine,14,23,low_density,1,1,,,,,,,1,7
R000082,2026-09-01,2026-09,16,1,1,1,1,2,1,0,3,0,0,0.57445,0.57445,0.562126,0.586774,0.195433,ai_unified_email_engine,14,16,low_density,1,1,,,,,,,1,0
R000083,2026-09-01,2026-09,341,1,1,1,1,2,1,1,3,0,0,0.813771,0.813771,0.808938,0.818603,0.608273,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,7
R000084,2026-09-01,2026-09,145,1,1,1,1,2,1,0,3,0,0,0.795546,0.795546,0.777321,0.813771,0.539299,ai_unified_email_engine,14,39,high_density,1,1,,,,,,,1,0
R000085,2026-09-01,2026-09,322,1,1,1,1,2,1,1,3,1,0.0769,0.495528,0.495528,0.448537,0.542519,0.253078,ai_unified_email_engine,14,14,low_density,1,1,,,,,,,1,6
R000086,2026-09-01,2026-09,417,1,1,1,1,2,1,1,3,0,0,0.765757,0.765757,0.750749,0.780765,0.512527,ai_unified_email_engine,14,25,medium_density,1,1,,,,,,,1,9
R000087,2026-09-01,2026-09,234,1,1,1,1,2,1,1,3,0,0,0.804582,0.804582,0.798138,0.811025,0.54741,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,3
R000088,2026-09-01,2026-09,238,1,1,1,1,2,1,1,3,0,0,0.596354,0.596354,0.571819,0.620889,0.590949,ai_unified_email_engine,14,56,high_density,1,1,,,,,,,1,4
R000089,2026-09-01,2026-09,253,1,1,1,1,2,1,1,3,0,0,0.779996,0.779996,0.765707,0.794285,0.533463,ai_unified_email_engine,14,26,medium_density,1,1,,,,,,,1,4
R000090,2026-09-01,2026-09,179,1,1,1,1,2,1,1,3,0,0,0.654749,0.654749,0.559363,0.750134,0.560986,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,5,0,1
R000091,2026-09-01,2026-09,248,1,1,1,1,2,1,1,3,0,0,0.515185,0.515185,0.389121,0.641248,0.296508,ai_unified_email_engine,14,3,very_low_density,1,1,,,,,,,1,3
R000092,2026-09-01,2026-09,338,1,1,1,1,2,1,1,3,0,0,0.598738,0.598738,0.590802,0.606673,0,ai_unified_email_engine,14,130,high_density,1,1,,,,,,,1,4
R000093,2026-09-01,2026-09,379,1,1,1,1,2,1,1,3,0,0,0.746134,0.746134,0.727188,0.76508,0.600531,ai_unified_email_engine,14,45,high_density,1,1,,,,,,,1,8
R000094,2026-09-01,2026-09,84,1,1,1,1,2,1,0,3,0,0,0.668807,0.668807,0.563993,0.773621,0.614699,ai_unified_email_engine,14,22,low_density,1,1,,,,,,,1,0
R000095,2026-09-01,2026-09,342,1,1,1,1,2,1,1,3,0,0,0.518136,0.518136,0.457671,0.5786,0.625562,ai_unified_email_engine,14,39,high_density,1,1,,,,,,,1,7
R000096,2026-09-01,2026-09,245,1,1,1,1,2,1,1,3,0,0,0.75499,0.75499,0.718798,0.791181,0.518602,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,4
R000097,2026-09-01,2026-09,189,1,1,1,1,2,1,1,3,0,0,0.58895,0.58895,0.575763,0.602138,0.391019,ai_unified_email_engine,14,15,low_density,1,1,,,,,,,1,2
R000098,2026-09-01,2026-09,240,1,1,1,1,2,1,1,3,0,0,0.712703,0.712703,0.600923,0.824484,0.545075,ai_unified_email_engine,14,130,high_density,1,1,,,,,,,1,4
R000099,2026-09-01,2026-09,167,1,1,1,1,2,1,1,3,0,0,0.507349,0.507349,0.401696,0.613001,0.50117,ai_unified_email_engine,14,18,low_density,1,1,,,,,,,1,1
R000100,2026-09-01,2026-09,293,1,1,1,1,2,1,1,3,1,0.0909,0.729055,0.729055,0.71047,0.747639,0.508215,ai_unified_email_engine,14,54,high_density,1,1,,,,,,,1,5
R000101,2026-09-01,2026-09,240,1,1,1,1,3,1,1,4,1,0.1,0.537893,0.558216,0.486825,0.568637,0.597564,ai_unified_email_engine,14,7,very_low_density,1,1,,,,,,,1,4
R000102,2026-09-01,2026-09,356,1,1,1,1,2,1,1,3,2,0.125,0.836812,0.836812,0.830751,0.842872,0.583251,ai_unified_email_engine,14,72,high_density,1,1,,,,,,,1,8
R000103,2026-09-01,2026-09,236,1,1,1,1,2,1,1,3,0,0,0.538047,0.538047,0.528749,0.547344,0,ai_unified_email_engine,14,98,high_density,1,1,,,,,,,1,3
R000104,2026-09-01,2026-09,295,1,1,1,1,2,1,1,3,1,0.1667,0.822501,0.822501,0.796251,0.84875,0.596273,ai_unified_email_engine,14,19,low_density,1,1,,,,,,0,0,3
R000105,2026-09-01,2026-09,151,1,1,1,1,2,1,0,3,0,0,0.815068,0.815068,0.805733,0.824403,0.5605,ai_unified_email_engine,14,56,high_density,1,1,,,,,,,1,0
R000106,2026-09-01,2026-09,382,1,1,1,1,2,1,1,3,0,0,0.576869,0.576869,0.57122,0.582519,0.22961,ai_unified_email_engine,14,72,high_density,1,1,,,,,,,1,8
R000107,2026-09-01,2026-09,190,1,1,1,1,2,1,1,3,0,0,0.734089,0.734089,0.695436,0.772741,0.548739,ai_unified_email_engine,14,72,high_density,1,1,,,,,,,1,2
R000108,2026-09-01,2026-09,245,1,1,1,1,2,1,1,3,0,0,0.542059,0.542059,0.526344,0.557773,0.577489,ai_unified_email_engine,14,9,very_low_density,1,1,,,,,,,1,4
R000109,2026-09-01,2026-09,272,1,1,1,1,2,1,1,3,1,0.0909,0.80947,0.80947,0.800724,0.818215,0.707421,ai_unified_email_engine,14,22,low_density,1,1,,,,,,,1,5
R000110,2026-09-01,2026-09,301,1,1,1,1,2,1,1,3,1,0.0909,0.534281,0.534281,0.526043,0.542519,0.428911,ai_unified_email_engine,14,14,low_density,1,1,,,,,,,1,6
R000111,2026-09-01,2026-09,32,1,1,1,1,2,1,0,3,0,0,0.663412,0.663412,0.544562,0.782262,0,ai_unified_email_engine,14,27,medium_density,1,1,,,,,,,1,0
R000112,2026-09-01,2026-09,237,1,1,1,1,3,1,1,4,0,0,0.593342,0.597576,0.50491,0.677541,0.391454,ai_unified_email_engine,14,49,high_density,1,1,,,,,,,1,3
R000113,2026-09-01,2026-09,359,1,1,1,1,2,1,1,3,0,0,0.677251,0.677251,0.587085,0.767417,0.560409,ai_unified_email_engine,14,45,high_density,1,1,,,,,,,1,7
R000114,2026-09-01,2026-09,219,1,1,1,1,2,1,1,3,0,0,0.72263,0.72263,0.711684,0.733576,0.555363,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,3
R000115,2026-09-01,2026-09,211,1,1,1,1,2,1,1,3,0,0,0.575738,0.575738,0.550719,0.600757,0,ai_unified_email_engine,14,130,high_density,1,1,,,,,,,1,3
R000116,2026-09-01,2026-09,286,1,1,1,1,2,1,1,3,2,0.2222,0.749658,0.749658,0.735366,0.76395,0.537354,ai_unified_email_engine,14,11,low_density,1,1,,,,,,,1,5
R000117,2026-09-01,2026-09,291,1,1,1,1,2,1,1,3,1,0.0909,0.832796,0.832796,0.817921,0.84767,0.591895,ai_unified_email_engine,14,98,high_density,1,1,,,,,,,1,5
R000118,2026-09-01,2026-09,254,1,1,1,1,3,1,1,4,2,0.2857,0.547606,0.590504,0.389103,0.663211,0.570727,ai_unified_email_engine,14,4,very_low_density,1,1,,,,,,,1,3
R000119,2026-09-01,2026-09,323,1,1,1,1,2,1,1,3,0,0,0.767373,0.767373,0.747841,0.786905,0.587274,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,,1,6
R000120,2026-09-01,2026-09,316,1,1,1,1,2,1,1,3,1,0.0769,0.801542,0.801542,0.783594,0.81949,0.555621,ai_unified_email_engine,14,13,low_density,1,1,,,,,,,1,6
R000121,2026-09-01,2026-09,201,1,1,1,1,2,1,1,3,0,0,0.792406,0.792406,0.773013,0.811799,0.546406,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,2
R000122,2026-09-01,2026-09,248,1,1,1,1,2,1,1,3,0,0,0.545314,0.545314,0.532854,0.557773,0.607992,ai_unified_email_engine,14,9,very_low_density,1,1,,,,,,,1,4
R000123,2026-09-01,2026-09,187,1,1,1,1,2,1,1,3,0,0,0.573954,0.573954,0.535226,0.612682,0.554072,ai_unified_email_engine,14,7,very_low_density,1,1,,,,,,,1,2
R000124,2026-09-01,2026-09,243,1,1,1,1,2,1,1,3,0,0,0.520093,0.520093,0.449033,0.591152,0.257858,ai_unified_email_engine,14,34,medium_density,1,1,,,,,,,1,3
R000125,2026-09-01,2026-09,195,1,1,1,1,2,1,1,3,0,0,0.818812,0.818812,0.798234,0.83939,0.54255,ai_unified_email_engine,14,98,high_density,1,1,,,,,,,1,2
R000126,2026-09-01,2026-09,63,1,1,1,1,2,1,0,3,0,0,0.805502,0.805502,0.781993,0.829011,0.523122,ai_unified_email_engine,14,130,high_density,1,1,,,,,,,1,0
R000127,2026-09-01,2026-09,176,1,1,1,1,2,1,1,3,0,0,0.523837,0.523837,0.488259,0.559414,0.586293,ai_unified_email_engine,14,69,high_density,1,1,,,,,,7,0,1
R000128,2026-09-01,2026-09,204,1,1,1,1,2,1,1,3,0,0,0.831997,0.831997,0.827321,0.836672,0.652504,ai_unified_email_engine,14,69,high_density,1,1,,,,,,,1,2
R000129,2026-09-01,2026-09,271,1,1,1,1,2,1,1,3,1,0.1111,0.679616,0.679616,0.654668,0.704563,0.581476,ai_unified_email_engine,14,34,medium_density,1,1,,,,,,,1,4
R000130,2026-09-01,2026-09,201,1,1,1,1,2,1,1,3,0,0,0.690528,0.690528,0.547177,0.833879,0.500909,ai_unified_email_engine,14,7,very_low_density,1,1,,,,,,,1,2
R000131,2026-09-01,2026-09,168,1,1,1,1,2,1,1,3,0,0,0.777322,0.777322,0.773013,0.781632,0.548574,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,1
R000132,2026-09-01,2026-09,48,1,1,1,1,2,1,0,3,0,0,0.73781,0.73781,0.712554,0.763066,0.537114,ai_unified_email_engine,14,49,high_density,1,1,,,,,,,1,0
R000133,2026-09-01,2026-09,268,1,1,1,1,2,1,1,3,1,0.1111,0.798706,0.798706,0.779197,0.818215,0.624913,ai_unified_email_engine,14,22,low_density,1,1,,,,,,5,0,4
R000134,2026-09-01,2026-09,203,1,1,1,1,2,1,1,3,0,0,0.770412,0.770412,0.767573,0.773251,0.26933,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,2
R000135,2026-09-01,2026-09,236,1,1,1,1,2,1,1,3,0,0,0.649852,0.649852,0.503075,0.796628,0,ai_unified_email_engine,14,33,medium_density,1,1,,,,,,,1,3
R000136,2026-09-01,2026-09,228,1,1,1,1,2,1,1,3,0,0,0.757345,0.757345,0.71047,0.804219,0.4887,ai_unified_email_engine,14,54,high_density,1,1,,,,,,,1,3
R000137,2026-09-01,2026-09,177,1,1,1,1,2,1,1,3,0,0,0.814217,0.814217,0.78679,0.841644,0.586653,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,1
