variable_name,description,source_system,source_field_or_derivation,data_type,allowed_values,missing_value_meaning,calculation
network_density_category,Privacy-safe quartile category of the member's city matching-pool size.,derived,matching_pool_size,string,very_low_density | low_density | medium_density | high_density,NULL = pool size unavailable,quartiles of the per-city pool-size distribution (thresholds documented in quality report).
intro_delivered_count,Number of AI introduction emails handed to the email provider for the member (provider confirmed delivery events are not stored).,neon_postgres,introduction_deliveries (status='sent'),integer,>= 1,never missing,count of the member's delivery rows with status 'sent'.
successful_delivery_rate,Share of the member's delivery rows recorded as sent without failure.,derived,introduction_deliveries.status,number,0..1,never missing,sent delivery rows / total delivery rows for the member (all rows currently 'sent').
retained_30d,Member had valid WLTH WLKS service access 30 days after the index introduction.,airtable (production service-access logic V2),MEMBERS.'Service access until' + 'Stripe subscription status',integer,1 | 0,NULL = insufficient elapsed observation time (index + 30 days is after the analysis date),"evaluateServiceAccess(policy v2, billing pause blocks) at index + 30 days."
retained_60d,Member had valid service access 60 days after the index introduction.,airtable,same as retained_30d,integer,1 | 0,NULL = insufficient elapsed observation time,evaluateServiceAccess at index + 60 days.
retained_90d,Member had valid service access 90 days after the index introduction.,airtable,same as retained_30d,integer,1 | 0,NULL = insufficient elapsed observation time,evaluateServiceAccess at index + 90 days.
retained_120d,Member had valid service access 120 days after the index introduction.,airtable,same as retained_30d,integer,1 | 0,NULL = insufficient elapsed observation time,evaluateServiceAccess at index + 120 days.
retained_180d,Member had valid service access 180 days after the index introduction.,airtable,same as retained_30d,integer,1 | 0,NULL = insufficient elapsed observation time,evaluateServiceAccess at index + 180 days.
days_from_index_to_service_end,Days from the index introduction until the member's stored service-access end date (for members whose access has now ended).,airtable,MEMBERS.'Service access until',integer,>= 0,"NULL = access end date missing, or access still valid at analysis date (right-censored)",floor((Service access until - index)/day) when the stored end date is in the past; NULL otherwise.
valid_access_at_analysis_date,Whether the member had valid service access on the analysis date (interim outcome; not a standard retention window).,airtable,MEMBERS.'Service access until' + 'Stripe subscription status',integer,0 | 1,never missing,evaluateServiceAccess(policy v2) at analysis date.
number_of_previous_introductions,Number of legacy (pre-AI) introductions the member received before the index date.,airtable,"MATCH GROUPS (Member 1/2/3, Introduction date)",integer,>= 0,never missing,count of legacy match-group participations dated before index.
